OBJECTID_1,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2020","# Renter-occupied housing units, 2020 (MOE)","# Gross rent less than $500, 2020","# Gross rent less than $500, 2020 (MOE)","% Gross rent less than $500, 2020","% Gross rent less than $500, 2020 (MOE)","# Gross rent $500 to $999, 2020","# Gross rent $500 to $999, 2020 (MOE)","% Gross rent $500 to $999, 2020","% Gross rent $500 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020","# Gross rent $1,000 to $1,499, 2020 (MOE)","% Gross rent $1,000 to $1,499, 2020","% Gross rent $1,000 to $1,499, 2020 (MOE)","# Gross rent $1,500 to $1,999, 2020","# Gross rent $1,500 to $1,999, 2020 (MOE)","% Gross rent $1,500 to $1,999, 2020","% Gross rent $1,500 to $1,999, 2020 (MOE)","# Gross rent $2,000 to $2,499, 2020","# Gross rent $2,000 to $2,499, 2020 (MOE)","% Gross rent $2,000 to $2,499, 2020","% Gross rent $2,000 to $2,499, 2020 (MOE)","# Gross rent $2,500 to $2,999, 2020","# Gross rent $2,500 to $2,999, 2020 (MOE)","% Gross rent $2,500 to $2,999, 2020","% Gross rent $2,500 to $2,999, 2020 (MOE)","# Gross rent $3,000 or more, 2020","# Gross rent $3,000 or more, 2020 (MOE)","% Gross rent $3,000 or more, 2020","% Gross rent $3,000 or more, 2020 (MOE)","# Gross rent less than $200, 2020","# Gross rent less than $200, 2020 (MOE)","% Gross rent less than $200, 2020","% Gross rent less than $200, 2020 (MOE)","# Gross rent $200 to $499, 2020","# Gross rent $200 to $499, 2020 (MOE)","% Gross rent $200 to $499, 2020","% Gross rent $200 to $499, 2020 (MOE)","# Gross rent $500 to $749, 2020","# Gross rent $500 to $749, 2020 (MOE)","% Gross rent $500 to $749, 2020","% Gross rent $500 to $749, 2020 (MOE)","# Gross rent $750 to $999, 2020","# Gross rent $750 to $999, 2020 (MOE)","% Gross rent $750 to $999, 2020","% Gross rent $750 to $999, 2020 (MOE)","# Gross rent $1,000 to $1,499, 2020.1","# Gross rent $1,000 to $1,499, 2020 (MOE).1","% Gross rent $1,000 to $1,499, 2020.1","% Gross rent $1,000 to $1,499, 2020 (MOE).1","# Gross rent $1,500 to $1,999, 2020.1","# Gross rent $1,500 to $1,999, 2020 (MOE).1","% Gross rent $1,500 to $1,999, 2020.1","% Gross rent $1,500 to $1,999, 2020 (MOE).1","# Gross rent $2,000 or more, 2020","# Gross rent $2,000 or more, 2020 (MOE)","% Gross rent $2,000 or more, 2020","% Gross rent $2,000 or more, 2020 (MOE)","# Gross rent less than $750, 2020","# Gross rent less than $750, 2020 (MOE)","% Gross rent less than $750, 2020","% Gross rent less than $750, 2020 (MOE)","# Gross rent $1,000 or more, 2020","# Gross rent $1,000 or more, 2020 (MOE)","% Gross rent $1,000 or more, 2020","% Gross rent $1,000 or more, 2020 (MOE)",Shape__Area,Shape__Length
4,Atlanta Regional Commission,Yes,30084,3906,ZCTA,2020 ZCTA 30084,5193.7919,551.291,138.78062,189.66478,2.7,3.7,1061.6871,298.76446,21.0,5.4,2621.7713,451.76263,51.7,6.9,953.06514,335.75786,18.8,6.3,266.6167,210.17973,5.3,4.1,0.33140257,48.201498,0.0,1.0,24.710567,76.465655,0.5,1.5,3.1578032,84.852747,0.1,1.7,135.62281,169.6253,2.7,3.3,153.63759,161.65941,3.0,3.2,908.04953,251.24975,17.9,4.6,2621.7713,451.76263,51.7,6.9,953.06514,335.75786,18.8,6.3,291.65867,228.79227,5.8,4.5,292.4182,249.21174,5.8,4.9,3841.4532,600.83137,75.8,8.5,417797335.510498,165684.785086149
11,Atlanta Regional Commission,Yes,30309,4033,ZCTA,2020 ZCTA 30309,8527.3457,781.17915,284.77503,191.89273,3.4,2.2,837.05026,307.32237,9.9,3.5,2196.5486,428.56431,26.0,4.5,3124.2882,573.0856,37.0,5.8,1147.0989,327.53229,13.6,3.7,534.12706,188.48572,6.3,2.2,330.71007,169.15234,3.9,2.0,47.0,91.487259,0.6,1.1,237.77503,168.67988,2.8,2.0,266.50867,171.33087,3.2,2.0,570.54159,255.13286,6.7,3.0,2196.5486,428.56431,26.0,4.5,3124.2882,573.0856,37.0,5.8,2011.936,414.0251,23.8,4.4,551.2837,257.24908,6.5,3.0,6467.9357,787.00183,76.5,6.0,92792955.1604004,67742.4858638719
39,Atlanta Regional Commission,Yes,30032,3872,ZCTA,2020 ZCTA 30032,9053.0725,593.82056,444.75678,218.20836,5.0,2.4,3900.8644,475.68854,44.2,4.5,3521.0133,482.14479,39.9,4.8,776.41957,245.1129,8.8,2.7,182.63529,152.54155,2.1,1.7,0.0,52.133763,0.0,0.6,0.76584506,74.028896,0.0,0.8,36.728817,96.199997,0.4,1.1,408.02796,195.85824,4.6,2.2,1187.6546,273.4405,13.5,3.0,2713.2097,389.2427,30.7,3.9,3521.0133,482.14479,39.9,4.8,776.41957,245.1129,8.8,2.7,183.40114,177.38977,2.1,2.0,1632.4114,349.8351,18.5,3.8,4480.0682,561.97229,50.8,5.4,381225327.007568,123025.737858433
40,Atlanta Regional Commission,Yes,30033,3873,ZCTA,2020 ZCTA 30033,5194.3755,448.64525,48.966929,134.51764,1.0,2.7,911.68536,261.07592,18.2,5.0,2637.6525,431.45339,52.7,7.2,1140.6579,233.7079,22.8,4.2,180.39746,104.97455,3.6,2.1,40.148782,52.150229,0.8,1.0,45.41477,72.090197,0.9,1.4,23.353728,78.8881,0.5,1.6,25.6132,108.95716,0.5,2.2,105.0634,122.70997,2.1,2.4,806.62196,230.44067,16.1,4.4,2637.6525,431.45339,52.7,7.2,1140.6579,233.7079,22.8,4.2,265.96101,137.60922,5.3,2.7,154.03033,182.07891,3.1,3.6,3958.7079,501.78787,79.1,7.1,246904228.649902,109250.055902475
82,Atlanta Regional Commission,Yes,30307,4031,ZCTA,2020 ZCTA 30307,3189.3968,380.21441,93.458991,117.55425,3.0,3.8,511.07546,249.02762,16.5,7.8,1114.0765,233.13582,35.9,6.1,867.44232,204.42736,28.0,5.6,319.04604,112.53998,10.3,3.4,87.197719,48.854963,2.8,1.5,108.5258,96.351378,3.5,3.1,38.927285,70.580881,1.3,2.3,54.531707,94.007136,1.8,3.0,150.02323,202.35046,4.8,6.5,361.05222,145.15181,11.6,4.5,1114.0765,233.13582,35.9,6.1,867.44232,204.42736,28.0,5.6,514.76956,155.99886,16.6,4.6,243.48223,234.01861,7.9,7.5,2300.5649,329.86074,74.2,5.6,126845388.461914,83373.7804549243
83,Atlanta Regional Commission,Yes,30327,4047,ZCTA,2020 ZCTA 30327,2663.8722,489.30472,167.71509,149.92761,6.5,5.7,69.765446,121.03853,2.7,4.7,723.95792,215.27154,28.2,6.5,901.99329,401.42557,35.2,14.2,331.09185,183.3139,12.9,6.7,181.38102,103.36782,7.1,3.8,190.01574,85.732227,7.4,3.0,69.0,106.39911,2.7,4.1,98.71509,105.62915,3.8,4.1,30.338992,90.141421,1.2,3.5,39.426454,80.776537,1.5,3.1,723.95792,215.27154,28.2,6.5,901.99329,401.42557,35.2,14.2,702.48861,227.24196,27.4,7.2,198.05408,174.93931,7.7,6.7,1957.0431,491.00744,76.3,12.6,495824836.597412,131747.407558839
114,Atlanta Regional Commission,Yes,30340,4057,ZCTA,2020 ZCTA 30340,5864.069,558.65181,184.16535,163.70953,3.2,2.8,1632.9531,351.3894,28.2,5.4,2758.4499,365.81413,47.6,4.4,1117.0777,353.69541,19.3,5.8,101.42772,120.42787,1.7,2.1,3.2511344,42.742873,0.1,0.7,0.0,61.408038,0.0,1.1,0.0,75.20918,0.0,1.3,184.16535,145.4111,3.2,2.5,289.21492,156.34652,5.0,2.7,1343.7382,314.69076,23.2,5.0,2758.4499,365.81413,47.6,4.4,1117.0777,353.69541,19.3,5.8,104.67886,141.7772,1.8,2.4,473.38026,226.37368,8.2,3.8,3976.9554,522.89893,68.6,6.2,230278771.567627,107056.485803281
135,Atlanta Regional Commission,Yes,30002,3853,ZCTA,2020 ZCTA 30002,1455.5974,312.66398,64.373208,81.265944,4.5,5.6,894.90486,317.582,62.4,17.6,395.2982,111.83433,27.6,5.0,63.540038,47.720159,4.4,3.2,15.466919,21.215054,1.1,1.5,0.91810346,19.933695,0.1,1.4,0.0,28.594701,0.0,2.0,6.44526,38.345287,0.4,2.7,57.927948,71.650489,4.0,4.9,258.44752,110.2076,18.0,6.6,636.45734,297.84662,44.4,18.4,395.2982,111.83433,27.6,5.0,63.540038,47.720159,4.4,3.2,16.385022,40.805486,1.1,2.8,322.82073,136.93016,22.5,8.2,474.30516,123.42694,33.1,4.8,47699379.8339844,49857.6991264784
140,Atlanta Regional Commission,Yes,30080,3903,ZCTA,2020 ZCTA 30080,12694.838,1029.1329,79.59576,175.89261,0.6,1.4,1619.6599,360.28404,12.9,2.7,7303.9271,934.16746,58.4,5.7,2758.5754,617.26822,22.0,4.6,462.39406,288.89004,3.7,2.3,157.6038,110.90737,1.3,0.9,130.70379,116.85501,1.0,0.9,0.03443921,96.543496,0.0,0.8,79.561321,147.02912,0.6,1.2,302.575,195.25159,2.4,1.5,1317.0849,302.78937,10.5,2.3,7303.9271,934.16746,58.4,5.7,2758.5754,617.26822,22.0,4.6,750.70166,330.77635,6.0,2.6,382.17076,262.79534,3.1,2.1,10524.897,1156.3504,84.1,6.2,352278003.828369,123641.80313823
147,Atlanta Regional Commission,Yes,30316,4040,ZCTA,2020 ZCTA 30316,5466.1126,535.65785,414.08912,231.07789,7.8,4.3,1093.1508,338.308,20.7,6.1,1962.1748,339.59136,37.2,5.3,1167.2071,281.03031,22.1,4.9,567.23279,238.11396,10.7,4.4,26.670538,45.127327,0.5,0.9,47.12059,99.728128,0.9,1.9,17.614888,80.10273,0.3,1.5,396.47424,216.74996,7.5,4.0,395.8574,255.82,7.5,4.8,697.29337,221.37847,13.2,4.0,1962.1748,339.59136,37.2,5.3,1167.2071,281.03031,22.1,4.9,641.02392,262.06952,12.1,4.8,809.94652,344.73304,15.3,6.4,3696.6147,500.99759,70.0,6.5,365139951.037109,128667.372871525
171,Atlanta Regional Commission,Yes,30030,3871,ZCTA,2020 ZCTA 30030,4209.8888,389.96493,655.3903,247.70097,16.4,6.0,726.29788,216.95283,18.2,5.1,1041.2472,206.34241,26.1,4.5,790.8753,219.93084,19.8,5.2,435.3278,191.57409,10.9,4.7,121.05405,116.78557,3.0,2.9,216.85326,124.35372,5.4,3.1,172.35822,123.08556,4.3,3.1,483.03208,214.95515,12.1,5.3,216.14765,133.34589,5.4,3.3,510.15023,171.13563,12.8,4.1,1041.2472,206.34241,26.1,4.5,790.8753,219.93084,19.8,5.2,773.23511,256.52164,19.4,6.1,871.53795,281.31281,21.9,6.7,2267.4503,357.27776,56.9,7.0,187879492.368896,75749.6102534852
204,Atlanta Regional Commission,Yes,30305,4029,ZCTA,2020 ZCTA 30305,6249.7218,592.20809,395.0,218.08585,6.4,3.5,598.0,258.73679,9.7,4.1,1931.2559,396.06709,31.3,5.7,1994.054,375.58936,32.4,5.2,786.39864,269.7867,12.8,4.2,249.47281,112.14595,4.0,1.8,209.62465,105.61513,3.4,1.7,0.0,75.194059,0.0,1.2,395.0,204.71271,6.4,3.3,235.0,149.85519,3.8,2.4,363.0,210.92213,5.9,3.4,1931.2559,396.06709,31.3,5.7,1994.054,375.58936,32.4,5.2,1245.4961,310.67046,20.2,4.7,630.0,264.60918,10.2,4.2,4711.7085,608.86893,76.4,6.6,181915236.880371,96572.7595850291
205,Atlanta Regional Commission,Yes,30339,4056,ZCTA,2020 ZCTA 30339,10946.91,885.58171,13.837762,141.56171,0.1,1.3,416.13231,210.89738,3.8,1.9,5975.9408,704.39125,54.8,4.7,3757.7883,705.51014,34.5,5.8,532.47292,222.25713,4.9,2.0,133.33762,110.90142,1.2,1.0,66.356924,80.359063,0.6,0.7,0.0,80.919625,0.0,0.7,13.837762,116.15391,0.1,1.1,74.124216,125.83764,0.7,1.2,342.00809,169.24123,3.1,1.5,5975.9408,704.39125,54.8,4.7,3757.7883,705.51014,34.5,5.8,732.16746,261.065,6.7,2.3,87.961978,189.40652,0.8,1.7,10266.202,1021.4254,94.2,5.4,286819050.276855,156308.513924853
260,Atlanta Regional Commission,Yes,30079,3902,ZCTA,2020 ZCTA 30079,721.51471,122.06859,180.79601,103.06446,25.1,13.7,233.07556,110.33668,32.3,14.3,252.71344,101.04885,35.1,12.7,31.473804,38.136399,4.4,5.2,14.528179,36.640852,2.0,5.1,4.3290229,11.274946,0.6,1.6,3.7451006,21.855748,0.5,3.0,21.576348,31.062307,3.0,4.3,159.21966,98.272149,22.1,13.1,88.023468,60.451584,12.2,8.1,145.05209,92.302708,20.1,12.3,252.71344,101.04885,35.1,12.7,31.473804,38.136399,4.4,5.2,22.602303,44.12879,3.1,6.1,268.81947,119.48505,37.3,15.3,298.71542,114.05177,41.5,14.2,32871845.3586426,41254.550771367
277,Atlanta Regional Commission,Yes,30067,3894,ZCTA,2020 ZCTA 30067,11202.484,641.51744,9.4775615,160.21591,0.1,1.4,1840.6501,339.80926,16.6,2.9,7313.2826,607.80759,65.8,4.0,1444.6686,320.40137,13.0,2.8,280.94039,192.43556,2.5,1.7,29.356721,56.469748,0.3,0.5,200.63489,291.16026,1.8,2.6,0.0,93.355462,0.0,0.8,9.4775615,130.20712,0.1,1.2,242.38173,156.86078,2.2,1.4,1598.2684,301.43827,14.4,2.6,7313.2826,607.80759,65.8,4.0,1444.6686,320.40137,13.0,2.8,510.93201,353.54572,4.6,3.2,251.85929,224.21962,2.3,2.0,9038.8917,713.52544,81.3,4.4,408040753.534912,149709.326552132
318,Atlanta Regional Commission,Yes,30308,4032,ZCTA,2020 ZCTA 30308,8335.3661,942.36132,1251.673,424.05682,15.1,4.8,443.85373,209.09446,5.4,2.4,2901.6269,773.59671,35.0,8.4,2418.8677,384.38311,29.2,3.2,842.21647,420.96928,10.2,4.9,371.51881,142.70932,4.5,1.6,66.349749,87.573631,0.8,1.1,180.66397,138.20731,2.2,1.6,1071.0091,400.90264,12.9,4.6,185.62051,147.71909,2.2,1.8,258.23322,147.98502,3.1,1.7,2901.6269,773.59671,35.0,8.4,2418.8677,384.38311,29.2,3.2,1280.085,453.0455,15.4,5.2,1437.2935,449.04913,17.3,5.0,6162.711,960.94608,74.3,7.9,44530709.5258789,40115.1270445138
319,Atlanta Regional Commission,Yes,30310,4034,ZCTA,2020 ZCTA 30310,6531.8432,546.60887,1114.1345,282.16835,17.4,4.2,2341.5755,377.33467,36.6,5.0,2479.3776,421.61071,38.8,5.7,457.03934,147.34785,7.2,2.2,0.0,49.185408,0.0,0.8,0.0,49.185408,0.0,0.8,0.0,69.558671,0.0,1.1,191.414,119.82308,3.0,1.9,922.72049,255.46313,14.4,3.8,965.32392,267.12531,15.1,4.0,1376.2516,266.50614,21.5,3.7,2479.3776,421.61071,38.8,5.7,457.03934,147.34785,7.2,2.2,0.0,98.370815,0.0,1.5,2079.4584,388.5549,32.5,5.4,2936.4169,449.31746,45.9,5.8,239653297.30957,103371.437286424
